ref,current_recall_status,TITLE,URL,MODULES,COMMITS
pull/18344,curated_match,cmd/puppeth: fix panic error when export aleth genesis wo/ precompile-addresses,https://github.com/ethereum/go-ethereum/pull/18344,{'ui': 3},"{'3f421aca54bb5216e0f949966481fa4516c52273', 'e92e68ee397845b3bd8dc5517d601fedc0498164', '81e7e511359a12381e67e3086e1c49cf635a959c'}"
pull/1843,curated_match,"eth/downloader: always send termination wakes, clean leftover",https://github.com/ethereum/go-ethereum/pull/1843,{'network': 1},"{'7977e87ce1e9ec46a8e8275f4cf53b6281c412c7', 'f459a3f0ae43eac29b597427be6602970f10334c'}"
pull/18487,curated_match,swarm/pss: fixing race condition,https://github.com/ethereum/go-ethereum/pull/18487,{'network': 4},"{'5b30d7850fa06553fa7db1ece99e12b1135ae581', '105008b6a121ade656bf63125cecb467e2434d95', '87c9d7c7d86966ff2206b4488050970614e4a7a3', '1ca00afa2d78ca6ca182d8c6f69e8c068ea819ce'}"
pull/19262,curated_match,"cmd, core, eth, trie: get rid of trie cache generations",https://github.com/ethereum/go-ethereum/pull/19262,"{'ui': 8, 'consensus': 7, 'storage': 23}","{'91eec1251c06727581063cd7e942ba913d806971', 'bc1298c33d22bba97971c7b522573b4e52604e40', 'd927ccfa62c5ee46fe7262687c3730b2069fe8ad'}"
pull/19348,curated_match,core/vm: Correct the Memory Gas Overflow condition,https://github.com/ethereum/go-ethereum/pull/19348,{'evm': 3},"{'92faf1bf7a0aee0bd42187420829625c7fcbde3f', '157f09e5b64bd4ba8a579c4719cf504d68f4b925', '9294b8f10f1fceb662a06f9d45aaf7a6b2492f05'}"
pull/19401,curated_match,"eth, les, geth: implement cli-configurable global gas cap for RPC calls",https://github.com/ethereum/go-ethereum/pull/19401,{'ui': 6},"{'9e93063e16465b27cc48bacf1b96b1b2874ddb96', '0c3563eb360f4f61d10e46d4ac9e586587ac47a7', 'e2f3465e83a4c03b48977ed367e68b0d63ca2ed1', '50b670ceab6c8fee126f9c411cc77d62b5150c2e'}"
pull/1945,curated_match,Argument parsing can lead to panic in rpc channel,https://github.com/ethereum/go-ethereum/pull/1945,{'rpc': 2},"{'c3c5f8b654f9ddaeedeb2d3d5d1caf000e08320e', 'fd27f074feecec2f1e4c8041ff04ddac8d0ab6a3'}"
pull/1948,curated_match,Infinite loop in filters,https://github.com/ethereum/go-ethereum/pull/1948,{'rpc': 1},"{'76410df6a21a10dec09ca955b1896ac083853ef7', '6dfbbc3e11cd5c88ed7d4311b30222d5c3f6cd0f'}"
pull/195,curated_match,fix panic on bad tx sender,https://github.com/ethereum/go-ethereum/pull/195,{'consensus': 2},{'7c24cd790d39b67ee16ad7f1b1a805fcb131dc8a'}
pull/19562,curated_match,p2p/discover: fix nil-dereference due to race,https://github.com/ethereum/go-ethereum/pull/19562,{'p2p': 2},"{'a0b81097ad8eb65745b00ca2ec2c55fa4dde2ac7', '95263914fcc6631aedc7294624ae39c2adf3cb5f'}"
pull/1966,curated_match,cmd/geth: fix recover command crash if no param is supplied,https://github.com/ethereum/go-ethereum/pull/1966,{'ui': 1},"{'76390ef8925ff0a3ae4092664e4e94550ae46de4', '90655736ed11859d185849f4f5a374b30095d932'}"
