population,dimension,category,direct_advisory_rows,direct_advisory_denominator,direct_advisory_percent,no_id_rows,no_id_denominator,no_id_percent,odds_ratio,ci95_low,ci95_high,p_value,q_value_bh
all_tiers,attack_path,peer,0,36,0.0,99,2053,4.822,0.269085,0.016395,4.416343,0.35780634,0.40253214
all_tiers,attack_path,large_input,0,36,0.0,47,2053,2.289,0.578659,0.034993,9.569022,0.70233622,0.70233622
all_tiers,label,p2p,7,36,19.444,63,2053,3.069,7.969438,3.441997,18.452063,1.2621379e-06,3.4077723e-05
all_tiers,label,opcodes,3,36,8.333,21,2053,1.023,9.876779,3.034354,32.148779,0.00014270493,0.0019265166
all_tiers,label,block-processing,3,36,8.333,38,2053,1.851,5.469471,1.738286,17.20954,0.003667956,0.023451186
all_tiers,label,evm,3,36,8.333,37,2053,1.802,5.618109,1.783457,17.697739,0.0031957335,0.023451186
all_tiers,label,gas,2,36,5.556,20,2053,0.974,7.188052,1.853284,27.879215,0.0043428123,0.023451186
all_tiers,label,crypto,2,36,5.556,24,2053,1.169,6.002662,1.565294,23.019285,0.0089652093,0.040343442
all_tiers,label,other,0,36,0.0,139,2053,6.771,0.188,0.011477,3.079463,0.24137217,0.65454332
all_tiers,label,state-trie,1,36,2.778,207,2053,10.083,0.376005,0.072931,1.938534,0.24242345,0.65454332
all_tiers,label,rpc,4,36,11.111,140,2053,6.819,1.885738,0.693294,5.12915,0.21405429,0.65454332
all_tiers,label,beacon-chain:slashing,1,36,2.778,26,2053,1.266,3.232793,0.603632,17.313435,0.17055444,0.65454332
all_tiers,label,beacon-chain:attestation,0,36,0.0,104,2053,5.066,0.255555,0.015576,4.192896,0.33917101,0.81784484
all_tiers,label,fork-choice,0,36,0.0,93,2053,4.53,0.287232,0.017493,4.716254,0.38228152,0.81784484
all_tiers,label,validator,0,36,0.0,87,2053,4.238,0.307867,0.01874,5.057618,0.40939377,0.81784484
all_tiers,label,beacon-chain:block-processing,0,36,0.0,84,2053,4.092,0.319283,0.01943,5.246625,0.4240677,0.81784484
all_tiers,label,build-ci,0,36,0.0,76,2053,3.702,0.354105,0.021531,5.823767,0.46741906,0.8413543
all_tiers,label,sync,1,36,2.778,138,2053,6.722,0.58438,0.113033,3.021238,0.52158606,0.88017647
all_tiers,label,database,0,36,0.0,48,2053,2.338,0.566445,0.034264,9.36427,0.69128346,0.93376848
all_tiers,label,cli,0,36,0.0,42,2053,2.046,0.648348,0.039141,10.739621,0.76223738,0.93376848
all_tiers,label,engine-api,0,36,0.0,40,2053,1.948,0.681042,0.041082,11.290145,0.78860683,0.93376848
all_tiers,label,data-availability-sampling,0,36,0.0,35,2053,1.705,0.778893,0.046873,12.94302,0.86165497,0.93376848
all_tiers,label,transactions,1,36,2.778,95,2053,4.627,0.866529,0.166975,4.496926,0.86460045,0.93376848
all_tiers,label,test,1,36,2.778,65,2053,3.166,1.282765,0.245806,6.694243,0.76768515,0.93376848
all_tiers,label,metrics-observability,0,36,0.0,21,2053,1.023,1.294998,0.076963,21.790072,0.85755626,0.93376848
all_tiers,label,beacon-chain:execution-payload,0,36,0.0,21,2053,1.023,1.294998,0.076963,21.790072,0.85755626,0.93376848
all_tiers,label,txpool,1,36,2.778,55,2053,2.679,1.521507,0.290625,7.965528,0.61924422,0.93376848
all_tiers,label,p2p-interface,2,36,5.556,131,2053,6.381,1.059404,0.289925,3.871131,0.93044692,0.95234986
all_tiers,label,builder,0,36,0.0,25,2053,1.218,1.089713,0.065085,18.244998,0.95234986,0.95234986
all_tiers,layer,consensus,4,36,11.111,882,2053,42.962,0.183805,0.068317,0.494518,0.00079500498,0.00079500498
all_tiers,layer,execution,32,36,88.889,1171,2053,57.038,5.440556,2.022172,14.637554,0.00079500498,0.00079500498
all_tiers,root_cause,race_condition,0,36,0.0,214,2053,10.424,0.117476,0.007184,1.920988,0.13307393,0.33732694
all_tiers,root_cause,integer_overflow_underflow,5,36,13.889,168,2053,8.183,1.953794,0.779105,4.899611,0.15333043,0.33732694
all_tiers,root_cause,consensus_divergence,5,36,13.889,160,2053,7.793,2.059882,0.820906,5.168821,0.12366685,0.33732694
all_tiers,root_cause,missing_bounds_check,3,36,8.333,83,2053,4.043,2.465547,0.802369,7.576215,0.11512593,0.33732694
all_tiers,root_cause,crypto_misuse,1,36,2.778,19,2053,0.925,4.408451,0.810548,23.976922,0.085995501,0.33732694
all_tiers,root_cause,other,2,36,5.556,263,2053,12.811,0.492396,0.13551,1.789197,0.2818205,0.51667091
all_tiers,root_cause,resource_exhaustion,7,36,19.444,310,2053,15.1,1.427577,0.634712,3.21087,0.38935808,0.60630605
all_tiers,root_cause,improper_state_update,2,36,5.556,85,2053,4.14,1.668362,0.453831,6.133191,0.44094985,0.60630605
all_tiers,root_cause,unhandled_error_or_nil,2,36,5.556,201,2053,9.791,0.666199,0.183028,2.424878,0.53776853,0.65727265
all_tiers,root_cause,incorrect_gas_accounting,0,36,0.0,47,2053,2.289,0.578659,0.034993,9.569022,0.70233622,0.76170733
all_tiers,root_cause,missing_input_validation,9,36,25.0,483,2053,23.527,1.122102,0.532901,2.362754,0.76170733,0.76170733
all_tiers,source_platform,geth,23,36,63.889,358,2053,17.438,8.232708,4.175077,16.233828,1.1617178e-09,1.1617178e-08
all_tiers,source_platform,besu,7,36,19.444,93,2053,4.53,5.330826,2.329298,12.200114,7.4408365e-05,0.00037204183
all_tiers,source_platform,erigon,2,36,5.556,410,2053,19.971,0.29012,0.079998,1.052141,0.059744868,0.19914956
all_tiers,source_platform,nimbus,0,36,0.0,245,2053,11.934,0.100912,0.006174,1.649477,0.10763338,0.26908345
all_tiers,source_platform,reth,0,36,0.0,180,2053,8.768,0.142185,0.00869,2.326419,0.17134261,0.34268522
all_tiers,source_platform,nethermind,0,36,0.0,128,2053,6.235,0.205266,0.012526,3.363694,0.26708283,0.36143397
all_tiers,source_platform,teku,0,36,0.0,112,2053,5.455,0.236408,0.014416,3.876946,0.31224042,0.36143397
all_tiers,source_platform,prysm,0,36,0.0,108,2053,5.261,0.245628,0.014975,4.029061,0.32529057,0.36143397
all_tiers,source_platform,lighthouse,1,36,2.778,201,2053,9.791,0.38846,0.075335,2.003076,0.25852085,0.36143397
all_tiers,source_platform,lodestar,3,36,8.333,199,2053,9.693,0.971197,0.31985,2.948953,0.95886703,0.95886703
