advisory_id,reviewed_scope,source_platform,record_id,appears_in_multiple_scopes
GHSA-VXX9-2994-Q338,dependency_or_tooling,lighthouse,73349ded3d9a5d75,False
RUSTSEC-2022-0084,dependency_or_tooling,lighthouse,11641305ff48c094,False
GHSA-X279-68RR-JP4P,dependency_or_tooling,nimbus,2cb44b7e3ca5ea1e,False
CVE-2024-2961,dependency_or_tooling,prysm,90c378110c2effe2,False
CVE-2025-22869,dependency_or_tooling,prysm,3c83a22575420ffe,False
CVE-2025-22870,dependency_or_tooling,prysm,3c83a22575420ffe,False
CVE-2025-22872,dependency_or_tooling,prysm,3c83a22575420ffe,False
CVE-2025-30204,dependency_or_tooling,prysm,3c83a22575420ffe,False
CVE-2024-34156,dependency_or_tooling,prysm,5851b2083fb6adda,False
CVE-2024-45337,dependency_or_tooling,prysm,5851b2083fb6adda,False
CVE-2024-45338,dependency_or_tooling,prysm,5851b2083fb6adda,False
RUSTSEC-2022-0084,dependency_or_tooling,reth,02e19ccf58f8c45a,False
RUSTSEC-2026-0008,dependency_or_tooling,reth,fbcaa7583ba63b62,False
RUSTSEC-2026-0009,dependency_or_tooling,reth,fbcaa7583ba63b62,False
RUSTSEC-2026-0186,dependency_or_tooling,reth,a63de8e8e19b2b90,False
CVE-2024-7254,dependency_or_tooling,teku,b9328bbd0a612628,False
CVE-2022-2191,dependency_or_tooling,teku,4d821104d536d56a,False
CVE-2022-25857,dependency_or_tooling,teku,c3f774c30e5b6733,False
CVE-2022-2191,dependency_or_tooling,teku,9b6f7f93db170dd0,False
CVE-2021-37136,dependency_or_tooling,teku,6746c31d67430ea7,False
CVE-2021-37137,dependency_or_tooling,teku,6746c31d67430ea7,False
CVE-2022-42003,dependency_or_tooling,teku,61adc10ab2139534,False
CVE-2022-41881,dependency_or_tooling,teku,fa07ca6c516da5c9,False
CVE-2022-1471,dependency_or_tooling,teku,d34ca7107f65e8d9,False
CVE-2023-44487,dependency_or_tooling,teku,dc53f591b9eb1856,False
CVE-2024-7254,dependency_or_tooling,teku,14948bc8b3025deb,False
CVE-2021-21369,direct_client_implementation,besu,8eb93dca323eea76,False
CVE-2025-30147,direct_client_implementation,besu,269366808285e00c,False
CVE-2021-41272,direct_client_implementation,besu,2b3def4a540f08df,False
CVE-2022-36025,direct_client_implementation,besu,e9e9bc9f0e5c5042,False
CVE-2018-20421,direct_client_implementation,geth,a35bfa6a16c0e362,False
CVE-2025-29072,other_product,nethermind,ea812e5ad2a3da8e,False
